edge_id	source_id	target_id	edge_type	role_detail	character	date_start	date_end	date_precision	event_id	production_key	provenance_person_id	provenance_fact_ids	evidence_sentence	extraction_model	confidence	match_status	review_status	source_layer
E-00066	play:PL-0074	person:683	authored_by											registry	high	matched	auto	plays
E-00067	play:PL-0075	person:683	authored_by											registry	high	matched	auto	plays
E-00068	play:PL-0076	person:683	authored_by											registry	high	matched	auto	plays
E-00069	play:PL-0077	person:684	authored_by											registry	high	matched	auto	plays
E-00070	play:PL-0078	person:683	authored_by											registry	high	matched	auto	plays
E-00071	play:PL-0079	person:683	authored_by											registry	high	matched	auto	plays
E-00072	play:PL-0080	person:684	authored_by											registry	high	matched	auto	plays
E-00073	play:PL-0081	person:684	authored_by											registry	high	matched	auto	plays
E-00074	play:PL-0084	person:683	authored_by											registry	high	matched	auto	plays
E-00075	play:PL-0085	person:683	authored_by											registry	high	matched	auto	plays
E-00076	play:PL-0086	person:684	authored_by											registry	high	matched	auto	plays
E-00077	play:PL-0087	person:683	authored_by											registry	high	matched	auto	plays
E-00078	play:PL-0088	person:683	authored_by											registry	high	matched	auto	plays
E-00079	play:PL-0091	person:683	authored_by											registry	high	matched	auto	plays
E-00080	play:PL-0092	person:684	authored_by											registry	high	matched	auto	plays
E-00081	play:PL-0093	person:683	authored_by											registry	high	matched	auto	plays
E-00082	play:PL-0095	person:684	authored_by											registry	high	matched	auto	plays
E-00083	play:PL-0096	person:683	authored_by											registry	high	matched	auto	plays
E-00084	play:PL-0097	person:683	authored_by											registry	high	matched	auto	plays
E-00085	play:PL-0098	person:683	authored_by											registry	high	matched	auto	plays
E-00086	play:PL-0099	person:683	authored_by											registry	high	matched	auto	plays
E-00087	play:PL-0101	person:683	authored_by											registry	high	matched	auto	plays
E-00088	play:PL-0102	person:683	authored_by											registry	high	matched	auto	plays
E-00089	play:PL-0103	person:684	authored_by											registry	high	matched	auto	plays
E-00090	play:PL-0105	person:683	authored_by											registry	high	matched	auto	plays
E-00091	play:PL-0106	person:683	authored_by											registry	high	matched	auto	plays
E-00092	play:PL-0107	person:684	authored_by											registry	high	matched	auto	plays
E-00093	play:PL-0108	person:684	authored_by											registry	high	matched	auto	plays
E-00094	play:PL-0109	person:683	authored_by											registry	high	matched	auto	plays
E-00095	play:PL-0111	person:684	authored_by											registry	high	matched	auto	plays
E-00096	play:PL-0112	person:684	authored_by											registry	high	matched	auto	plays
E-00097	play:PL-0113	person:684	authored_by											registry	high	matched	auto	plays
E-00098	play:PL-0114	person:684	authored_by											registry	high	matched	auto	plays
E-00099	play:PL-0116	person:683	authored_by											registry	high	matched	auto	plays
E-00100	play:PL-0117	person:683	authored_by											registry	high	matched	auto	plays
E-00101	play:PL-0118	person:683	authored_by											registry	high	matched	auto	plays
E-00102	play:PL-0120	person:684	authored_by											registry	high	matched	auto	plays
E-00103	play:PL-0121	person:683	authored_by											registry	high	matched	auto	plays
E-00104	play:PL-0122	person:683	authored_by											registry	high	matched	auto	plays
E-00105	play:PL-0123	person:683	authored_by											registry	high	matched	auto	plays
E-00106	play:PL-0124	person:683	authored_by											registry	high	matched	auto	plays
E-00107	play:PL-0125	person:683	authored_by											registry	high	matched	auto	plays
E-00108	play:PL-0126	person:683	authored_by											registry	high	matched	auto	plays
E-00109	play:PL-0127	person:683	authored_by											registry	high	matched	auto	plays
E-00110	play:PL-0128	person:684	authored_by											registry	high	matched	auto	plays
E-00111	play:PL-0130	person:683	authored_by											registry	high	matched	auto	plays
E-00112	play:PL-0131	person:683	authored_by											registry	high	matched	auto	plays
E-00113	play:PL-0132	person:684	authored_by											registry	high	matched	auto	plays
E-00114	play:PL-0133	person:683	authored_by											registry	high	matched	auto	plays
E-00115	play:PL-0134	person:684	authored_by											registry	high	matched	auto	plays
E-00116	play:PL-0135	person:683	authored_by											registry	high	matched	auto	plays
E-00117	play:PL-0136	person:684	authored_by											registry	high	matched	auto	plays
E-00118	play:PL-0137	person:684	authored_by											registry	high	matched	auto	plays
E-00119	play:PL-0139	person:684	authored_by											registry	high	matched	auto	plays
E-00120	play:PL-0140	person:683	authored_by											registry	high	matched	auto	plays
E-00121	play:PL-0142	person:684	authored_by											registry	high	matched	auto	plays
E-00122	play:PL-0143	person:684	authored_by											registry	high	matched	auto	plays
E-00123	play:PL-0145	person:684	authored_by											registry	high	matched	auto	plays
E-00124	play:PL-0146	person:684	authored_by											registry	high	matched	auto	plays
E-00125	play:PL-0148	person:683	authored_by											registry	high	matched	auto	plays
E-00126	play:PL-0149	person:683	authored_by											registry	high	matched	auto	plays
E-00127	play:PL-0150	person:684	authored_by											registry	high	matched	auto	plays
E-00128	play:PL-0151	person:684	authored_by											registry	high	matched	auto	plays
E-00129	play:PL-0153	person:684	authored_by											registry	high	matched	auto	plays
E-00130	play:PL-0154	person:683	authored_by											registry	high	matched	auto	plays
E-00131	play:PL-0156	person:684	authored_by											registry	high	matched	auto	plays
E-00132	play:PL-0157	person:684	authored_by											registry	high	matched	auto	plays
E-00133	play:PL-0158	person:684	authored_by											registry	high	matched	auto	plays
E-00134	play:PL-0159	person:683	authored_by											registry	high	matched	auto	plays
E-00135	play:PL-0160	person:683	authored_by											registry	high	matched	auto	plays
E-00136	play:PL-0162	person:684	authored_by											registry	high	matched	auto	plays
E-00137	play:PL-0163	person:683	authored_by											registry	high	matched	auto	plays
E-00138	play:PL-0164	person:683	authored_by											registry	high	matched	auto	plays
E-00139	play:PL-0165	person:683	authored_by											registry	high	matched	auto	plays
E-00140	play:PL-0167	person:684	authored_by											registry	high	matched	auto	plays
E-00141	play:PL-0168	person:684	authored_by											registry	high	matched	auto	plays
E-00142	play:PL-0169	person:684	authored_by											registry	high	matched	auto	plays
E-00143	play:PL-0170	person:684	authored_by											registry	high	matched	auto	plays
E-00144	play:PL-0171	person:683	authored_by											registry	high	matched	auto	plays
E-00145	play:PL-0172	person:684	authored_by											registry	high	matched	auto	plays
E-00146	play:PL-0173	person:684	authored_by											registry	high	matched	auto	plays
E-00147	play:PL-0176	person:684	authored_by											registry	high	matched	auto	plays
E-00148	play:PL-0177	person:683	authored_by											registry	high	matched	auto	plays
E-00149	play:PL-0178	person:684	authored_by											registry	high	matched	auto	plays
E-00150	play:PL-0179	person:683	authored_by											registry	high	matched	auto	plays
E-00151	play:PL-0180	person:683	authored_by											registry	high	matched	auto	plays
E-00152	play:PL-0181	person:684	authored_by											registry	high	matched	auto	plays
E-00153	play:PL-0182	person:684	authored_by											registry	high	matched	auto	plays
E-00154	play:PL-0183	person:683	authored_by											registry	high	matched	auto	plays
E-00155	play:PL-0185	person:683	authored_by											registry	high	matched	auto	plays
E-00156	play:PL-0186	person:683	authored_by											registry	high	matched	auto	plays
E-00157	play:PL-0187	person:684	authored_by											registry	high	matched	auto	plays
E-00158	play:PL-0188	person:684	authored_by											registry	high	matched	auto	plays
E-00159	play:PL-0191	person:684	authored_by											registry	high	matched	auto	plays
E-00160	play:PL-0192	person:683	authored_by											registry	high	matched	auto	plays
E-00161	play:PL-0193	person:683	authored_by											registry	high	matched	auto	plays
E-00162	play:PL-0194	person:683	authored_by											registry	high	matched	auto	plays
E-00163	play:PL-0195	person:683	authored_by											registry	high	matched	auto	plays
E-00164	play:PL-0196	person:684	authored_by											registry	high	matched	auto	plays
E-00165	play:PL-0197	person:683	authored_by											registry	high	matched	auto	plays
E-00166	play:PL-0198	person:684	authored_by											registry	high	matched	auto	plays
E-00167	play:PL-0199	person:683	authored_by											registry	high	matched	auto	plays
E-00168	play:PL-0200	person:683	authored_by											registry	high	matched	auto	plays
E-00169	play:PL-0201	person:683	authored_by											registry	high	matched	auto	plays
E-00170	play:PL-0202	person:684	authored_by											registry	high	matched	auto	plays
E-00171	play:PL-0203	person:684	authored_by											registry	high	matched	auto	plays
E-00172	play:PL-0204	person:684	authored_by											registry	high	matched	auto	plays
E-00173	play:PL-0205	person:683	authored_by											registry	high	matched	auto	plays
E-00174	play:PL-0206	person:684	authored_by											registry	high	matched	auto	plays
E-00175	play:PL-0207	person:683	authored_by											registry	high	matched	auto	plays
E-00176	play:PL-0208	person:684	authored_by											registry	high	matched	auto	plays
E-00177	play:PL-0209	person:683	authored_by											registry	high	matched	auto	plays
E-00178	play:PL-0210	person:683	authored_by											registry	high	matched	auto	plays
E-00179	play:PL-0211	person:683	authored_by											registry	high	matched	auto	plays
E-00180	play:PL-0212	person:683	authored_by											registry	high	matched	auto	plays
E-00181	play:PL-0213	person:684	authored_by											registry	high	matched	auto	plays
E-00182	play:PL-0214	person:683	authored_by											registry	high	matched	auto	plays
E-00183	play:PL-0216	person:683	authored_by											registry	high	matched	auto	plays
E-00184	play:PL-0218	person:683	authored_by											registry	high	matched	auto	plays
E-00185	play:PL-0219	person:684	authored_by											registry	high	matched	auto	plays
E-00186	play:PL-0220	person:684	authored_by											registry	high	matched	auto	plays
E-00187	play:PL-0221	person:684	authored_by											registry	high	matched	auto	plays
E-00188	play:PL-0222	person:684	authored_by											registry	high	matched	auto	plays
E-00189	play:PL-0223	person:683	authored_by											registry	high	matched	auto	plays
E-00190	play:PL-0224	person:683	authored_by											registry	high	matched	auto	plays
E-00191	play:PL-0225	person:683	authored_by											registry	high	matched	auto	plays
E-00192	play:PL-0226	person:684	authored_by											registry	high	matched	auto	plays
E-00193	play:PL-0227	person:684	authored_by											registry	high	matched	auto	plays
E-00194	play:PL-0230	person:684	authored_by											registry	high	matched	auto	plays
E-00195	play:PL-0231	person:684	authored_by											registry	high	matched	auto	plays
E-00196	play:PL-0232	person:684	authored_by											registry	high	matched	auto	plays
E-00197	play:PL-0234	person:683	authored_by											registry	high	matched	auto	plays
E-00198	play:PL-0236	person:684	authored_by											registry	high	matched	auto	plays
E-00199	play:PL-0237	person:684	authored_by											registry	high	matched	auto	plays
E-00200	play:PL-0238	person:684	authored_by											registry	high	matched	auto	plays
E-00201	play:PL-0241	person:683	authored_by											registry	high	matched	auto	plays
E-00202	play:PL-0242	person:683	authored_by											registry	high	matched	auto	plays
E-00203	play:PL-0243	person:683	authored_by											registry	high	matched	auto	plays
E-00204	play:PL-0244	person:684	authored_by											registry	high	matched	auto	plays
E-00205	play:PL-0245	person:683	authored_by											registry	high	matched	auto	plays
E-00206	play:PL-0246	person:683	authored_by											registry	high	matched	auto	plays
E-00207	play:PL-0247	person:683	authored_by											registry	high	matched	auto	plays
E-00208	play:PL-0248	person:684	authored_by											registry	high	matched	auto	plays
E-00209	play:PL-0249	person:684	authored_by											registry	high	matched	auto	plays
E-00210	play:PL-0250	person:684	authored_by											registry	high	matched	auto	plays
E-00211	play:PL-0251	person:684	authored_by											registry	high	matched	auto	plays
E-00212	play:PL-0252	person:684	authored_by											registry	high	matched	auto	plays
E-00213	play:PL-0254	person:683	authored_by											registry	high	matched	auto	plays
E-00214	play:PL-0255	person:684	authored_by											registry	high	matched	auto	plays
E-00215	play:PL-0256	person:683	authored_by											registry	high	matched	auto	plays
E-00216	play:PL-0257	person:684	authored_by											registry	high	matched	auto	plays
E-00217	play:PL-0258	person:683	authored_by											registry	high	matched	auto	plays
E-00218	play:PL-0259	person:683	authored_by											registry	high	matched	auto	plays
E-00219	play:PL-0260	person:683	authored_by											registry	high	matched	auto	plays
E-00220	play:PL-0261	person:683	authored_by											registry	high	matched	auto	plays
E-00221	play:PL-0262	person:683	authored_by											registry	high	matched	auto	plays
E-00222	play:PL-0263	person:683	authored_by											registry	high	matched	auto	plays
E-00223	play:PL-0264	person:684	authored_by											registry	high	matched	auto	plays
E-00224	play:PL-0265	person:684	authored_by											registry	high	matched	auto	plays
E-00225	play:PL-0266	person:683	authored_by											registry	high	matched	auto	plays
E-00226	play:PL-0268	person:683	authored_by											registry	high	matched	auto	plays
E-00227	play:PL-0269	person:683	authored_by											registry	high	matched	auto	plays
E-00228	play:PL-0270	person:684	authored_by											registry	high	matched	auto	plays
E-00229	play:PL-0271	person:683	authored_by											registry	high	matched	auto	plays
E-00230	play:PL-0272	person:684	authored_by											registry	high	matched	auto	plays
E-00231	play:PL-0273	person:684	authored_by											registry	high	matched	auto	plays
E-00232	play:PL-0078	edition:tkb_828537	published_as	segment_exact										title_join	high	matched	auto	plays
E-00233	play:PL-0149	edition:tkb_817462	published_as	segment_exact										title_join	high	matched	auto	plays
E-00234	play:PL-0200	edition:tkb_828539	published_as	segment_exact										title_join	high	matched	auto	plays
E-00235	play:PL-0096	edition:tkb_828503	published_as	segment_exact										title_join	high	matched	auto	plays
E-00236	play:PL-0234	edition:tkb_828481	published_as	segment_exact										title_join	high	matched	auto	plays
E-00237	play:PL-0034	edition:tkb_828455	published_as	segment_exact										title_join	high	matched	auto	plays
E-00238	play:PL-0045	edition:tkb_828443	published_as	segment_exact										title_join	high	matched	auto	plays
E-00239	play:PL-0062	edition:tkb_828424	published_as	segment_exact										title_join	high	matched	auto	plays
E-00240	play:PL-0018	edition:tkb_820937	published_as	segment_exact										title_join	high	matched	auto	plays
E-00241	play:PL-0247	edition:tkb_820975	published_as	segment_exact										title_join	high	matched	auto	plays
E-00242	play:PL-0048	edition:tkb_820969	published_as	segment_exact										title_join	high	matched	auto	plays
E-00243	play:PL-0102	edition:tkb_820964	published_as	segment_exact										title_join	high	matched	auto	plays
E-00244	play:PL-0258	edition:tkb_820939	published_as	segment_exact										title_join	high	matched	auto	plays
E-00245	play:PL-0070	edition:tkb_820845	published_as	segment_exact										title_join	high	matched	auto	plays
E-00246	play:PL-0052	edition:tkb_820841	published_as	segment_exact										title_join	high	matched	auto	plays
E-00247	play:PL-0050	edition:tkb_534187	published_as	segment_exact										title_join	high	matched	auto	plays
E-00248	play:PL-0202	edition:tkb_494907	published_as	segment_exact										title_join	high	matched	auto	plays
E-00249	person:684	play:PL-0063	authored	author		1877		year			P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:1#1	וועלכער האָט מיר פאָרגעלעזן אַ דריי-אַקטיק שטיק מיט דעם נאָמען „דאָס פּוילישע יונגעל“	gemini-3-flash-preview	high	matched	auto	plays
E-00250	person:684	event:EV-0001	cast_in	author		1877-04-24		day	event:EV-0001	cb65c3b05e	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:1#2	שבת דען 24-טן אַפּריל 1877 ווירד געשפּילט ווערדן פיר דאָס ערשטע מאַל דער טיראַנישער באַנקער איינע מעלאָדראמע אין דריי אַקטן אונד 10 טאָבלאען [סצענעס] מיט געזאַנג אונד טאַנץ פאַרפאַסט פאָן משה האָראָוויטץ	gemini-3-flash-preview	high	unmatched	auto	plays
E-00251	person:684	play:PL-0138	authored	derived_from_event		1877-04-24		day	event:EV-0001	cb65c3b05e	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:1#2	שבת דען 24-טן אַפּריל 1877 ווירד געשפּילט ווערדן פיר דאָס ערשטע מאַל דער טיראַנישער באַנקער איינע מעלאָדראמע אין דריי אַקטן אונד 10 טאָבלאען [סצענעס] מיט געזאַנג אונד טאַנץ פאַרפאַסט פאָן משה האָראָוויטץ	gemini-3-flash-preview	high	unmatched	auto	plays
E-00252	person:UP-0001	event:EV-0001	cast_in	actor		1877-04-24		day	event:EV-0001	cb65c3b05e	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:1#3	באַטייליקט זיך האָבן די מענער: א. שיינגאָלד	gemini-3-flash-preview	high	unmatched	auto	plays
E-00253	person:UP-0001	play:PL-0138	performed_in	derived_from_event		1877-04-24		day	event:EV-0001	cb65c3b05e	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:1#3	באַטייליקט זיך האָבן די מענער: א. שיינגאָלד	gemini-3-flash-preview	high	unmatched	auto	plays
E-00254	person:684	event:EV-0002	cast_in	director		1878		year	event:EV-0002	ddc9148952	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:1#4	געעפנט האָט מען מיט דער פּיעסע „דאָס פּוילישע יינגל“	gemini-3-flash-preview	high	matched	auto	plays
E-00255	person:684	play:PL-0063	directed	derived_from_event		1878		year	event:EV-0002	ddc9148952	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:1#4	געעפנט האָט מען מיט דער פּיעסע „דאָס פּוילישע יינגל“	gemini-3-flash-preview	high	matched	auto	plays
E-00256	person:684	play:PL-0175	translated_adapted	translator		1878		year			P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:1#5	אַלס דריטע פּיעסע די איבערזעצונג פון רומעניש „די ווייסטע אינזל“	gemini-3-flash-preview	high	matched	auto	plays
E-00257	person:684	play:PL-0240	authored	author				none			P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:1#6	רומעניע [וואו ער פירט אויף-לויט לעאָן בלאנק זיין פּיעסע „עתליהו“]	gemini-3-flash-preview	high	matched	auto	plays
E-00258	person:684	event:EV-0003	cast_in	actor	דר. עדוויש	1886		year	event:EV-0003	3cc7323af2	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:1#7	וואו מען האָט אויפגעפירט זיין פּיעסע „טיסא עסלער“ (מוזיק פון ז. מאָגולעסקאָ, ראָל דר. עדוויש דער מחבר)	gemini-3-flash-preview	high	matched	auto	plays
E-00259	person:684	play:PL-0188	performed_in	derived_from_event	דר. עדוויש	1886		year	event:EV-0003	3cc7323af2	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:1#7	וואו מען האָט אויפגעפירט זיין פּיעסע „טיסא עסלער“ (מוזיק פון ז. מאָגולעסקאָ, ראָל דר. עדוויש דער מחבר)	gemini-3-flash-preview	high	matched	auto	plays
E-00260	person:684	play:PL-0188	authored	author				none			P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:1#8	די פּיעסע אין דער ערשטער פאָרטזעצונג האָט געהייסן: „טיסא עסלער אָדער די פאַרשווערונג, אין 5 אַקטן און 15 בילדער“	gemini-3-flash-preview	high	matched	auto	plays
E-00261	person:684	play:PL-0153	authored	author				none			P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:1#9	אין דער צווייטער פאָרטזעצונג: „דער פּראָצעס פון טיסאַ עסלער, אין 4 אַקטן און 12 בילדער	gemini-3-flash-preview	high	matched	auto	plays
E-00262	person:920	event:EV-0004	cast_in	actor		1913		year	event:EV-0004	3abffddac3	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:1#10	"יעקב מעסטעל ניט איבער, אַז אין 1913 האָט ער אין „פּאמול ווערדי“ יאסי (דיר. אשכנזי רעזש. לאַרעסקו), געשפּילט אין דערזעלבער פּיעסע א""נ „טיסא עסלער“"	gemini-3-flash-preview	high	unmatched	auto	plays
E-00263	person:920	play:PL-0188	performed_in	derived_from_event		1913		year	event:EV-0004	3abffddac3	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:1#10	"יעקב מעסטעל ניט איבער, אַז אין 1913 האָט ער אין „פּאמול ווערדי“ יאסי (דיר. אשכנזי רעזש. לאַרעסקו), געשפּילט אין דערזעלבער פּיעסע א""נ „טיסא עסלער“"	gemini-3-flash-preview	high	unmatched	auto	plays
E-00264	person:684	event:EV-0005	cast_in	author		1887		year	event:EV-0005	07c1e21ebb	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:1#11	ה.'ס צווייטע פּיעסע איז געווען שלמה המלך, אָדער די ליבע אויס שיר השירים	gemini-3-flash-preview	high	matched	auto	plays
E-00265	person:684	play:PL-0270	authored	derived_from_event		1887		year	event:EV-0005	07c1e21ebb	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:1#11	ה.'ס צווייטע פּיעסע איז געווען שלמה המלך, אָדער די ליבע אויס שיר השירים	gemini-3-flash-preview	high	matched	auto	plays
E-00266	person:683	event:EV-0006	cast_in	author		1887		year	event:EV-0006	fb9470c790	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:1#12	האָט מען אין צווייטן טעאַטער אויפגעפירט אַן ענלעכע פּיעסע „משפּט שלמה“ פון דעם דאָרטיק-אָנגעשטעלטן דראַמאַטורג יאזעף לאטיינער	gemini-3-flash-preview	high	matched	auto	plays
E-00267	person:683	play:PL-0223	authored	derived_from_event		1887		year	event:EV-0006	fb9470c790	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:1#12	האָט מען אין צווייטן טעאַטער אויפגעפירט אַן ענלעכע פּיעסע „משפּט שלמה“ פון דעם דאָרטיק-אָנגעשטעלטן דראַמאַטורג יאזעף לאטיינער	gemini-3-flash-preview	high	matched	auto	plays
E-00268	person:684	event:EV-0007	cast_in	author		1887		year	event:EV-0007	fe6b78b76c	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:1#13	אין זעלבן יאָר (1887) איז אין זעלבן טעאַטער נאָך אויפגעפירט געוואָרן ה.'ס „דאָן יאָזעף אברבנל“ אין 4 אַקטן	gemini-3-flash-preview	high	matched	auto	plays
E-00269	person:684	play:PL-0051	authored	derived_from_event		1887		year	event:EV-0007	fe6b78b76c	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:1#13	אין זעלבן יאָר (1887) איז אין זעלבן טעאַטער נאָך אויפגעפירט געוואָרן ה.'ס „דאָן יאָזעף אברבנל“ אין 4 אַקטן	gemini-3-flash-preview	high	matched	auto	plays
E-00270	person:684	event:EV-0008	cast_in	author		1887		year	event:EV-0008	2d9d8ac488	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:1#14	האָט מען אין „רומעניע אָפּערע-הויז“ אויפגעפירט אַ נייע פּיעסע פון הורוויץ הלוי מיט דעם נאָמען „דער שבתי צבי“	gemini-3-flash-preview	high	matched	auto	plays
E-00271	person:684	play:PL-0161	authored	derived_from_event		1887		year	event:EV-0008	2d9d8ac488	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:1#14	האָט מען אין „רומעניע אָפּערע-הויז“ אויפגעפירט אַ נייע פּיעסע פון הורוויץ הלוי מיט דעם נאָמען „דער שבתי צבי“	gemini-3-flash-preview	high	matched	auto	plays
E-00272	person:684	event:EV-0009	cast_in	author		1901-09	1901-10	month	event:EV-0009	f96cff0aa9	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:3#1	"אין ווינדזאָר טעאַטער האָט מען אויפֿגעפֿירט (סעפּטעמבער-אַקטאָבער 1901) אַ שטיק מיטן נאָמען ""בן הדור"" פֿון מ. הורוויטש"	gemini-3-flash-preview	high	matched	auto	plays
