node_id	node_type	label_yiddish	label_english	ext_ref_type	ext_ref_id	secondary_ids	match_status	notes	source_layer	attrs
play:PL-0066	play	דאס פרייהייט לעבן		plays_db	PL-0066		matched		plays	
play:PL-0067	play	דגל מחנה יהודה		plays_db	PL-0067		matched		plays	
play:PL-0068	play	דוד בן ישי		plays_db	PL-0068		matched		plays	
play:PL-0069	play	דודס האַרפע		plays_db	PL-0069		matched		plays	
play:PL-0070	play	דודס פֿידעלע		plays_db	PL-0070		matched		plays	
play:PL-0071	play	די אלמנה		plays_db	PL-0071		matched		plays	
play:PL-0072	play	די בלוטיקע האָכצייט אין קאטהערי		plays_db	PL-0072		matched		plays	
play:PL-0073	play	די בני ישראל		plays_db	PL-0073		matched		plays	
play:PL-0074	play	די גאָלדענע חתונה, אָדער דער אַמעריקאַנער		plays_db	PL-0074		matched		plays	
play:PL-0075	play	די גאָלדענע מדינה		plays_db	PL-0075		matched		plays	
play:PL-0076	play	די געהיימניסע פֿון ניו-יאָרק		plays_db	PL-0076		matched		plays	
play:PL-0077	play	די געפֿערלעכע נאָכבארשאפֿט		plays_db	PL-0077		matched		plays	
play:PL-0078	play	די גרינהאָרנס		plays_db	PL-0078		matched		plays	
play:PL-0079	play	די גרינער שוסטער		plays_db	PL-0079		matched		plays	
play:PL-0080	play	די העלדן פֿון האמסטער צײַט בילד		plays_db	PL-0080		matched		plays	
play:PL-0081	play	די העלדן פון סאַנטיאַגאָ אדער פּאַטריאָטיזמוס און ליבע		plays_db	PL-0081		matched		plays	
play:PL-0082	play	די וואָרהייט		plays_db	PL-0082		matched		plays	
play:PL-0083	play	די וועשין		plays_db	PL-0083		matched		plays	
play:PL-0084	play	די זילבערנע האכצייט		plays_db	PL-0084		matched		plays	
play:PL-0085	play	די ייִדישע וועלט		plays_db	PL-0085		matched		plays	
play:PL-0086	play	די יידן פון וואָרמס		plays_db	PL-0086		matched		plays	
play:PL-0087	play	די לוסטיקע קאַוואַלירן		plays_db	PL-0087		matched		plays	
play:PL-0088	play	די ליבע פֿון ירושלים		plays_db	PL-0088		matched		plays	
play:PL-0089	play	די לייכטזיניגער		plays_db	PL-0089		matched		plays	
play:PL-0090	play	די מאַכט פֿון קונסט		plays_db	PL-0090		matched		plays	
play:PL-0091	play	די מחותנים, אׁדער דאָס שפּיל פֿון לעבן		plays_db	PL-0091		matched		plays	
play:PL-0092	play	די מלחמה מיט די שפאַנישע באַרבערן		plays_db	PL-0092		matched		plays	
play:PL-0093	play	די נאַכטוואַנדלערין		plays_db	PL-0093		matched		plays	
play:PL-0094	play	די נייע פרימאַדאָנע		plays_db	PL-0094		matched		plays	
play:PL-0095	play	די נשמה פֿון ישראל		plays_db	PL-0095		matched		plays	
play:PL-0096	play	די סדר-נאַכט, אָדער דער בלבול-דם		plays_db	PL-0096		matched		plays	
play:PL-0097	play	די עמיגראַנטן אויס רוסלאַנד		plays_db	PL-0097		matched		plays	
play:PL-0098	play	די עמיגראַציאָן נאָך אַמעריקע		plays_db	PL-0098		matched		plays	
play:PL-0099	play	די ענדע פון רוסישען צאר		plays_db	PL-0099		matched		plays	
play:PL-0100	play	די ערע		plays_db	PL-0100		matched		plays	
play:PL-0101	play	די פֿאַלשע צוואה		plays_db	PL-0101		matched		plays	
play:PL-0102	play	די פֿאַרבלאָנדזשעטע נשמה		plays_db	PL-0102		matched		plays	
play:PL-0103	play	די ציגאינערין		plays_db	PL-0103		matched		plays	
play:PL-0104	play	די ציגײַנערין		plays_db	PL-0104		matched		plays	
play:PL-0105	play	די קאָמעדיאַנטקע, אַ שטיק ביאָגראַפֿיע פֿון מאָלי פּיקאָנס לעבן		plays_db	PL-0105		matched		plays	
play:PL-0106	play	די קאמעליען דאמע		plays_db	PL-0106		matched		plays	
play:PL-0107	play	די קרבנות פֿון שלעכטע צײַטן		plays_db	PL-0107		matched		plays	
play:PL-0108	play	די שטילע חתונה		plays_db	PL-0108		matched		plays	
play:PL-0109	play	די שיינע אסתּר, אָדער דער בן-מלך		plays_db	PL-0109		matched		plays	
play:PL-0110	play	די שנײַדערין		plays_db	PL-0110		matched		plays	
play:PL-0111	play	די שפּאַנישע קורבנות		plays_db	PL-0111		matched		plays	
play:PL-0112	play	דיא הרוגים אים יום כפור		plays_db	PL-0112		matched		plays	
play:PL-0113	play	דיא יודישע קאלאניסטען : סענזאציאנעל אפערעטע פון אמעריקאנישען לעבען אין 4 אקטען		plays_db	PL-0113		matched		plays	
play:PL-0114	play	דיא מיזינקע אָדער דיא תליתים וועבער		plays_db	PL-0114		matched		plays	
play:PL-0115	play	דיא מייא בלומע		plays_db	PL-0115		matched		plays	
play:PL-0116	play	דינהלע אָדער אַ גאַסט פֿון יענער וועלט		plays_db	PL-0116		matched		plays	
play:PL-0117	play	דניאל אין לייבנגרוב		plays_db	PL-0117		matched		plays	
play:PL-0118	play	דניאל, אָדער די טאָכטער פֿון ירושלים		plays_db	PL-0118		matched		plays	
play:PL-0119	play	ד״ר דניאל		plays_db	PL-0119		matched		plays	
play:PL-0120	play	דעם זייגערמאַכערס קאפּעליטשל		plays_db	PL-0120		matched		plays	
play:PL-0121	play	דעם צדיקס משפּחה		plays_db	PL-0121		matched		plays	
play:PL-0122	play	דער אַנטיסעמיט אָדער די ייִדן-לאַגע אין רומעניע		plays_db	PL-0122		matched		plays	
play:PL-0123	play	דער אַנטלאָפֿענער סאָלדאַט		plays_db	PL-0123		matched		plays	
play:PL-0124	play	דער אָרעמער מיליאָנער		plays_db	PL-0124		matched		plays	
play:PL-0125	play	דער אומשולדיקער קרבן		plays_db	PL-0125		matched		plays	
play:PL-0126	play	דער אוצר		plays_db	PL-0126		matched		plays	
play:PL-0127	play	דער אמתער פֿרײַנד		plays_db	PL-0127		matched		plays	
play:PL-0128	play	דער בּאַראָן הירש		plays_db	PL-0128		matched		plays	
play:PL-0129	play	דער בלינדער מוזיקאַנט		plays_db	PL-0129		matched		plays	
play:PL-0130	play	דער גאט פון גערעכטיקייט		plays_db	PL-0130		matched		plays	
play:PL-0131	play	דער גנבֿ, אָדער דער ייִדישער בירגער-מײַסטער		plays_db	PL-0131		matched		plays	
play:PL-0132	play	דער געפֿאַלענער באַנקיר		plays_db	PL-0132		matched		plays	
play:PL-0133	play	דער דיבוק		plays_db	PL-0133		matched		plays	
play:PL-0134	play	דער הויזירער אָדער עמיגראציאן נאך אמעריקע		plays_db	PL-0134		matched		plays	
play:PL-0135	play	דער הימלישער קאָנגרעס		plays_db	PL-0135		matched		plays	
play:PL-0136	play	דער חרם אין בית המקדש		plays_db	PL-0136		matched		plays	
play:PL-0137	play	דער טויטער קאָפּ		plays_db	PL-0137		matched		plays	
play:PL-0138	play	דער טיראנישער באַנקער		plays_db	PL-0138		matched		plays	
play:PL-0139	play	דער יחוס שידוך		plays_db	PL-0139		matched		plays	
play:PL-0140	play	דער ייִד אין רומעניע		plays_db	PL-0140		matched		plays	
play:PL-0141	play	דער ייד אין סאַביעצקי צײַטן		plays_db	PL-0141		matched		plays	
play:PL-0142	play	דער יידישער גלות		plays_db	PL-0142		matched		plays	
play:PL-0143	play	דער יידישער טעאטער דירעקטאר		plays_db	PL-0143		matched		plays	
play:PL-0144	play	דער ישיבֿה־בחור		plays_db	PL-0144		matched		plays	
play:PL-0145	play	דער כוזרי אָדער, די יידישע מלוכה אין קאַווקאַז		plays_db	PL-0145		matched		plays	
play:PL-0146	play	דער לאָדזשען פּרעזידענט		plays_db	PL-0146		matched		plays	
play:PL-0147	play	דער ליגנער		plays_db	PL-0147		matched		plays	
play:PL-0148	play	דער מאַמעס טאָכטערל		plays_db	PL-0148		matched		plays	
play:PL-0149	play	דער מאַן אונטערן טיש		plays_db	PL-0149		matched		plays	
play:PL-0150	play	דער מבול פֿון דזשאנסטאן		plays_db	PL-0150		matched		plays	
play:PL-0151	play	דער משוגענער פילאָזאָף		plays_db	PL-0151		matched		plays	
play:PL-0152	play	דער נייער שטערן		plays_db	PL-0152		matched		plays	
play:PL-0153	play	דער פּראצעס פֿון טיסא עסלער		plays_db	PL-0153		matched		plays	
play:PL-0154	play	דער פֿאַלשער שריט		plays_db	PL-0154		matched		plays	
play:PL-0155	play	דער פֿאַרקויפֿטער שלאָף		plays_db	PL-0155		matched		plays	
play:PL-0156	play	דער פאַרשוונדער און דער בעטלער		plays_db	PL-0156		matched		plays	
play:PL-0157	play	דער פעטער אין אַמעריקע		plays_db	PL-0157		matched		plays	
play:PL-0158	play	דער פײַער מבול		plays_db	PL-0158		matched		plays	
play:PL-0159	play	דער קאמעדיאַנט, אָדער אַ שאַנדפֿלעק אין דער משפּחה		plays_db	PL-0159		matched		plays	
play:PL-0160	play	דער שׂטן אין גן-עדן, אָדער די שוויגער צו גאַסט		plays_db	PL-0160		matched		plays	
play:PL-0161	play	דער שבתי צבי		plays_db	PL-0161		matched		plays	
play:PL-0162	play	דער שוואָגער פון אַמעריקע		plays_db	PL-0162		matched		plays	
play:PL-0163	play	דער שטורם וינד		plays_db	PL-0163		matched		plays	
play:PL-0164	play	דער שטערן פֿון פּראָג, אָדער דער טרוים אַ נבֿואה		plays_db	PL-0164		matched		plays	
play:PL-0165	play	דער שטריק אויף דעם האַלדז		plays_db	PL-0165		matched		plays	
play:PL-0166	play	דער שקר		plays_db	PL-0166		matched		plays	
play:PL-0167	play	דר' הערצל		plays_db	PL-0167		matched		plays	
play:PL-0168	play	דר. בוקענין צײַטבילד		plays_db	PL-0168		matched		plays	
play:PL-0169	play	דרייפוס, אָדער, צום צווייטן מאָל פאַראורטיילט און דאָך אומשולדיק		plays_db	PL-0169		matched		plays	
play:PL-0170	play	הדסה		plays_db	PL-0170		matched		plays	
play:PL-0171	play	הלל אדער די מלחמה מיטן יצר הרע		plays_db	PL-0171		matched		plays	
play:PL-0172	play	המן דער צווייטער		plays_db	PL-0172		matched		plays	
play:PL-0173	play	וואָשינגטאָן		plays_db	PL-0173		matched		plays	
play:PL-0174	play	ווילהעלם טעל		plays_db	PL-0174		matched		plays	
play:PL-0175	play	וויסטער אינזעל		plays_db	PL-0175		matched		plays	
play:PL-0176	play	ווירדזינוס		plays_db	PL-0176		matched		plays	
play:PL-0177	play	ווירדזשיניוס		plays_db	PL-0177		matched		plays	
play:PL-0178	play	זכות אבות, אָדער רב, פּרעדיקער און גלח, לעבנס-אָפּערע		plays_db	PL-0178		matched		plays	
play:PL-0179	play	חוה אָדער די שלאַנג אַלס הויזפֿרײַנד		plays_db	PL-0179		matched		plays	
play:PL-0180	play	חורבן ירושלים		plays_db	PL-0180		matched		plays	
play:PL-0181	play	חורבן קישינעוו		plays_db	PL-0181		matched		plays	
play:PL-0182	play	חיזקיהו המלך		plays_db	PL-0182		matched		plays	
play:PL-0183	play	חיים אין אַמעריקע		plays_db	PL-0183		matched		plays	
play:PL-0184	play	חכמת נשים		plays_db	PL-0184		matched		plays	
play:PL-0185	play	חכמת שלמה		plays_db	PL-0185		matched		plays	
play:PL-0186	play	חתן-כּלה		plays_db	PL-0186		matched		plays	
play:PL-0187	play	טהאָרן און מרס		plays_db	PL-0187		matched		plays	
play:PL-0188	play	טיסא עסלער אָדער די פֿאַרשווערונג		plays_db	PL-0188		matched		plays	
play:PL-0189	play	יאַקאָב דער מוזיקאַנט		plays_db	PL-0189		matched		plays	
play:PL-0190	play	יהודה  וישראל, אדער די קראפט פון שמע ישראל		plays_db	PL-0190		matched		plays	
play:PL-0191	play	יהודה הגלילי, אדער, דער פירסט פון ירושלים		plays_db	PL-0191		matched		plays	
play:PL-0192	play	יהודה המכּבי		plays_db	PL-0192		matched		plays	
play:PL-0193	play	יהודית און האָלאָפֿערנעס		plays_db	PL-0193		matched		plays	
play:PL-0194	play	יהודית די פֿאַרבלאָנדזעטע שעפֿעלע		plays_db	PL-0194		matched		plays	
play:PL-0195	play	יהודית די צווייטע		plays_db	PL-0195		matched		plays	
play:PL-0196	play	יהושע בן נון אָדער דער פֿאַל פֿון יריחו		plays_db	PL-0196		matched		plays	
play:PL-0197	play	יום-החופּה		plays_db	PL-0197		matched		plays	
play:PL-0198	play	יונה הנביא אָדער די רייזע דורך וואַסער און פֿייער		plays_db	PL-0198		matched		plays	
play:PL-0199	play	יוסף און זײַנע ברידער		plays_db	PL-0199		matched		plays	
play:PL-0200	play	ייִדעלע, אָדער דער אמת און דער שקר		plays_db	PL-0200		matched		plays	
play:PL-0201	play	יענטע פּיפּענאָטער		plays_db	PL-0201		matched		plays	
play:PL-0202	play	יעקב ועשיו		plays_db	PL-0202		matched		plays	
play:PL-0203	play	יפת תואר אָדער בלעם הרשע		plays_db	PL-0203		matched		plays	
play:PL-0204	play	יציאת מצרים		plays_db	PL-0204		matched		plays	
play:PL-0205	play	ישׂראלס קינדער		plays_db	PL-0205		matched		plays	
play:PL-0206	play	ישעיהו הנביא		plays_db	PL-0206		matched		plays	
play:PL-0207	play	כל נדרי		plays_db	PL-0207		matched		plays	
play:PL-0208	play	כתב תורה, אָדער, דער רמב״ם אין עגיפּטן		plays_db	PL-0208		matched		plays	
play:PL-0209	play	לומפּאַציוס וואַגאַבונדוס		plays_db	PL-0209		matched		plays	
play:PL-0210	play	ליבעסהעלד		plays_db	PL-0210		matched		plays	
play:PL-0211	play	מאַמע מיט 7 קינדער		plays_db	PL-0211		matched		plays	
play:PL-0212	play	מאַן און ווײַב		plays_db	PL-0212		matched		plays	
play:PL-0213	play	מאַריאַנע		plays_db	PL-0213		matched		plays	
play:PL-0214	play	מאַריאַנע, ליבע פֿון אַ מוטער		plays_db	PL-0214		matched		plays	
play:PL-0215	play	מאָנטע קריסטאָ		plays_db	PL-0215		matched		plays	
play:PL-0216	play	מאזעס מאנטיפיארי		plays_db	PL-0216		matched		plays	
play:PL-0217	play	מוטער-ליבע		plays_db	PL-0217		matched		plays	
play:PL-0218	play	מזל-ברכה		plays_db	PL-0218		matched		plays	
play:PL-0219	play	מלחמות היהודים		plays_db	PL-0219		matched		plays	
play:PL-0220	play	מלכת שבא		plays_db	PL-0220		matched		plays	
play:PL-0221	play	מענדעלע דער מאַרטיר		plays_db	PL-0221		matched		plays	
play:PL-0222	play	מערי בערבערי, צײַטבילד		plays_db	PL-0222		matched		plays	
play:PL-0223	play	משפּט שלמה		plays_db	PL-0223		matched		plays	
play:PL-0224	play	מײַן ווײַבס פֿרײַנד, אָדער די טאָכטער פֿון ירושלים		plays_db	PL-0224		matched		plays	
play:PL-0225	play	מײַן טאָכטער		plays_db	PL-0225		matched		plays	
play:PL-0226	play	נבוכדנצר מלך בבל		plays_db	PL-0226		matched		plays	
play:PL-0227	play	נח'ס תיבה אָדער דער זינדיגער דור המבול		plays_db	PL-0227		matched		plays	
play:PL-0228	play	נחום גענדזעלע		plays_db	PL-0228		matched		plays	
play:PL-0229	play	נחמיה קוגל		plays_db	PL-0229		matched		plays	
play:PL-0230	play	נקדימון בן גוריון, אָדער דער גליקליכער פּאַסטוך		plays_db	PL-0230		matched		plays	
play:PL-0231	play	סולטאן מחמד אָדער קארבעם [קרבן] בייראם, אין 5 אַקטן און 9 בילדער		plays_db	PL-0231		matched		plays	
play:PL-0232	play	סיר מאָזעס מאָנטעפיאָרי		plays_db	PL-0232		matched		plays	
play:PL-0233	play	עוזר לייזער, געציל מיכאל		plays_db	PL-0233		matched		plays	
play:PL-0234	play	עזרא אָדער דער עוויגער יודע		plays_db	PL-0234		matched		plays	
play:PL-0235	play	עזריה		plays_db	PL-0235		matched		plays	
play:PL-0236	play	עם הארץ		plays_db	PL-0236		matched		plays	
play:PL-0237	play	עמי און נעמי, אָדער ראַבינער, סאָלדאַט און ניהיליסט		plays_db	PL-0237		matched		plays	
play:PL-0238	play	עמיגראַנטען פון רוסלאַנד אָדער דער גרינע פעדלער		plays_db	PL-0238		matched		plays	
play:PL-0239	play	ערשטע ליבע		plays_db	PL-0239		matched		plays	
play:PL-0240	play	עתליהו		plays_db	PL-0240		matched		plays	
play:PL-0241	play	פֿאָטער ליבע		plays_db	PL-0241		matched		plays	
play:PL-0242	play	צאַר איוואַן גראָזני		plays_db	PL-0242		matched		plays	
play:PL-0243	play	צוויי שמואל-שמעלקעס		plays_db	PL-0243		matched		plays	
play:PL-0244	play	צוויי תנאים		plays_db	PL-0244		matched		plays	
play:PL-0245	play	צום גדליה		plays_db	PL-0245		matched		plays	
play:PL-0246	play	צוריק אין דער היים		plays_db	PL-0246		matched		plays	
play:PL-0247	play	ציון, אָדער על נהרות בבֿל		plays_db	PL-0247		matched		plays	
play:PL-0248	play	קאַפּיטאַליסטן און אַרבעטער		plays_db	PL-0248		matched		plays	
play:PL-0249	play	קאַפּיטן דרײַפוס		plays_db	PL-0249		matched		plays	
play:PL-0250	play	קאַצאָפּס מפּלה		plays_db	PL-0250		matched		plays	
play:PL-0251	play	קאַרלייל העריס צײַט בילד		plays_db	PL-0251		matched		plays	
play:PL-0252	play	קאָלאָמבוס		plays_db	PL-0252		matched		plays	
play:PL-0253	play	קאָלאָניע שומרון־סאַמאַריע אָדער אוריאל אַקאָסטא אין כאַלאַט		plays_db	PL-0253		matched		plays	
play:PL-0254	play	קאָרטנשפּילער		plays_db	PL-0254		matched		plays	
play:PL-0255	play	קובא, אָדער גענעראל מאַצעבוס העלדנטאטן		plays_db	PL-0255		matched		plays	
play:PL-0256	play	קורחס אוצרות אָדער ממון דער געלדגאָט		plays_db	PL-0256		matched		plays	
play:PL-0257	play	קידוש השם		plays_db	PL-0257		matched		plays	
play:PL-0258	play	קידוש השם, אָדער דער ייִדישער מיניסטער		plays_db	PL-0258		matched		plays	
play:PL-0259	play	קיסר ניראָן		plays_db	PL-0259		matched		plays	
play:PL-0260	play	קיען אדער ליבע און ליידענשאפט		plays_db	PL-0260		matched		plays	
play:PL-0261	play	קעניג און בויער		plays_db	PL-0261		matched		plays	
play:PL-0262	play	קעניגען פון לופט		plays_db	PL-0262		matched		plays	
play:PL-0263	play	רבי עקיבא		plays_db	PL-0263		matched		plays	
play:PL-0264	play	רבנו גרשם, אָדער, דער קייזער באַזיליוס דער צווייטער		plays_db	PL-0264		matched		plays	
play:PL-0265	play	"רש""י"		plays_db	PL-0265		matched		plays	
play:PL-0266	play	שואליק		plays_db	PL-0266		matched		plays	
play:PL-0267	play	שלאמקע און ריקל		plays_db	PL-0267		matched		plays	
play:PL-0268	play	שלום-בית		plays_db	PL-0268		matched		plays	
play:PL-0269	play	שלמה גאָרגל		plays_db	PL-0269		matched		plays	
play:PL-0270	play	שלמה המלך		plays_db	PL-0270		matched		plays	
play:PL-0271	play	שלמה ערליך		plays_db	PL-0271		matched		plays	
play:PL-0272	play	שמשון הגיבור		plays_db	PL-0272		matched		plays	
play:PL-0273	play	שניידערישער יחוס אָדער קאַרטענשפּילער		plays_db	PL-0273		matched		plays	
edition:tkb_828537	edition		Mishke Mashke	transkribus_doc	828537	"{""expression_id"": ""3838""}"	matched		plays	
edition:tkb_817462	edition		Der Mann untern Tisch	transkribus_doc	817462	"{""expression_id"": ""3817""}"	matched		plays	
edition:tkb_828539	edition		Yudale der Blinder	transkribus_doc	828539	"{""expression_id"": ""3927""}"	matched		plays	
edition:tkb_828503	edition		Di Seder Nakht	transkribus_doc	828503	"{""expression_id"": ""3847""}"	matched		plays	
edition:tkb_828481	edition		Ezra	transkribus_doc	828481	"{""expression_id"": ""3875""}"	matched		plays	
edition:tkb_828455	edition		Blimele (di Perle von Warsha)	transkribus_doc	828455	"{""expression_id"": ""3801""}"	matched		plays	
edition:tkb_828443	edition		Bas Sheva	transkribus_doc	828443	"{""expression_id"": ""3798""}"	matched		plays	
edition:tkb_828424	edition		Das Yudishe Kind	transkribus_doc	828424	"{""expression_id"": ""3867""}"	matched		plays	
edition:tkb_820937	edition		Isha Raa	transkribus_doc	820937	"{""expression_id"": ""3884""}"	matched		plays	
edition:tkb_820975	edition		Al Naharot Bavel	transkribus_doc	820975	"{""expression_id"": ""3915""}"	matched		plays	
edition:tkb_820969	edition		Hinke Pinke	transkribus_doc	820969	"{""expression_id"": ""3877""}"	matched		plays	
edition:tkb_820964	edition		Sore Sheyndel	transkribus_doc	820964	"{""expression_id"": ""3833""}"	matched		plays	
edition:tkb_820939	edition		Kidush Hashem	transkribus_doc	820939	"{""expression_id"": ""3892""}"	matched		plays	
edition:tkb_820845	edition		Dovid's Fidele	transkribus_doc	820845	"{""expression_id"": ""3869""}"	matched		plays	
edition:tkb_820841	edition		Dos Yudishe Herts	transkribus_doc	820841	"{""expression_id"": ""3866""}"	matched		plays	
edition:tkb_534187	edition		Meshumed	transkribus_doc	534187	"{""expression_id"": ""3879""}"	matched		plays	
edition:tkb_494907	edition		Yaakov-Esav	transkribus_doc	494907		matched		plays	
place:Q19660	place	בוקארעשט	Bucharest	wikidata_qid	Q19660	"{""kima_id"": ""656"", ""lat"": ""44.413361"", ""lon"": ""26.097778""}"	matched		plays	
org:44	org	איזראעליטישע-דראַמאַטישע-געזעלשאַפט	איזראעליטישע-דראַמאַטישע-געזעלשאַפט	org_core_db	44		matched		plays	
venue:UV-0001	venue	איזראעליטישע-נאַציאָנאַל-גאָרטן					unmatched		plays	
person:UP-0001	person	א. שיינגאָלד					unmatched		plays	
org:125	org	רומעניע-אָפּערע-הויז	Roumanian Opera House|Central Theatre	org_core_db	125		matched		plays	
