mention_id	surname	host_person_id	mention_name	decision_kind	resolved_hub_id	resolved_heading	resolver_verdict	resolver_method	agrees_with_resolver	chips	reviewer	reviewed_at	notes
M-volume_1IIIorg-NOXID-טאָמאַשעווסקי-018	טאמאשעווסקי	P-1-facs_139_tr_1740521045	טאָמאַשעווסקי	hub	HUB-D693	טאָמאַשעוו[פ]סקי, באָריס [ברוך-אהרן]	AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:46:50Z	
M-volume_1IIIorg-NOXID-טאָמאַשעווסקי-019	טאמאשעווסקי	P-1-facs_145_tr_1740521058	טאָמאַשעווסקי	hub	HUB-D693	טאָמאַשעוו[פ]סקי, באָריס [ברוך-אהרן]	AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:46:50Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-012	טאמאשעווסקי	P-1-facs_150_tr_1740521123	טאָמאָשעווסקי	hub	HUB-D693	טאָמאַשעוו[פ]סקי, באָריס [ברוך-אהרן]	AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:46:50Z	
M-volume_1IIIorg-NOXID-טאָמאַשעווסקי-020	טאמאשעווסקי	P-1-facs_179_tr_1714741737	טאָמאַשעווסקי	hub	HUB-D693	טאָמאַשעוו[פ]סקי, באָריס [ברוך-אהרן]	AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:46:50Z	
M-volume_1IIIorg-NOXID-טאָמאַשעווסקי-021	טאמאשעווסקי	P-1-facs_180_region_1715801037095_458	טאָמאַשעווסקי	hub	HUB-D693	טאָמאַשעוו[פ]סקי, באָריס [ברוך-אהרן]	AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster|career-overlap	Ruthie	2026-07-08T13:46:50Z	
M-volume_1IIIorg-NOXID-טאָמאַשעווסקי-012	טאמאשעווסקי	P-1-facs_19_r_6	טאָמאַשעווסקי	family			AMBIGUOUS	low_margin	0	gender:male|year:1888|career-overlap	Ruthie	2026-07-08T13:46:50Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-014	טאמאשעווסקי	P-1-facs_210_tr_1741260180	טאָמאָשעווסקי	hub	HUB-D845	טאָמאַשעווסקי, פּנחס	AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster|career-overlap	Ruthie	2026-07-08T13:46:50Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-015	טאמאשעווסקי	P-1-facs_211_tr_1741260267	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:04Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-017	טאמאשעווסקי	P-1-facs_250_tr_1741260264	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:04Z	
M-volume_1IIIorg-NOXID-טאָמאַשעווסקי-022	טאמאשעווסקי	P-1-facs_253_tr_1741260231	טאָמאַשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|year:1918|family-cluster|career-overlap	Ruthie	2026-07-08T13:47:04Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-018	טאמאשעווסקי	P-1-facs_255_tr_1741260319	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:04Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-019	טאמאשעווסקי	P-1-facs_266_tr_1741260241	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|year:1928|family-cluster|career-overlap	Ruthie	2026-07-08T13:47:04Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-020	טאמאשעווסקי	P-1-facs_268_tr_1741260225	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:04Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-021	טאמאשעווסקי	P-1-facs_269_tr_1741260225	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:04Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-022	טאמאשעווסקי	P-1-facs_276_tr_1741260302	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|year:1923|family-cluster|career-overlap	Ruthie	2026-07-08T13:47:04Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-023	טאמאשעווסקי	P-1-facs_277_tr_1741260245	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|year:1923|family-cluster|career-overlap	Ruthie	2026-07-08T13:47:04Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-024	טאמאשעווסקי	P-1-facs_279_r_9_1	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:04Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-025	טאמאשעווסקי	P-1-facs_287_tr_1741260241	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:04Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-026	טאמאשעווסקי	P-1-facs_291_tr_1741260460	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:04Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-027	טאמאשעווסקי	P-1-facs_292_tr_1741260503	טאָמאָשעווסקי	hub	HUB-D693	טאָמאַשעוו[פ]סקי, באָריס [ברוך-אהרן]	AMBIGUOUS	family_abstain_suggested	0	gender:male|year:1921|family-cluster|career-overlap	Ruthie	2026-07-08T13:47:04Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-028	טאמאשעווסקי	P-1-facs_292_tr_1741260514	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:04Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-029	טאמאשעווסקי	P-1-facs_295_tr_1741260503	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|year:1913|family-cluster|career-overlap	Ruthie	2026-07-08T13:47:14Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-030	טאמאשעווסקי	P-1-facs_299_tr_1741260438	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:14Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-031	טאמאשעווסקי	P-1-facs_300_r_5	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|year:1907|family-cluster|career-overlap	Ruthie	2026-07-08T13:47:14Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-032	טאמאשעווסקי	P-1-facs_304_tr_1741260480	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|year:1913|family-cluster|career-overlap	Ruthie	2026-07-08T13:47:14Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-033	טאמאשעווסקי	P-1-facs_305_tr_1741260403	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:14Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-034	טאמאשעווסקי	P-1-facs_308_tr_1741260516	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:14Z	
M-volume_1IIIorg-1-facs_320_tr_1741260430-טאָמאָשעווסקי-000	טאמאשעווסקי	P-1-facs_320_tr_1741260430	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|year:1928|family-cluster|career-overlap	Ruthie	2026-07-08T13:47:14Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-035	טאמאשעווסקי	P-1-facs_320_tr_1741260434	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:14Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-037	טאמאשעווסקי	P-1-facs_332_tr_1741260410	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:14Z	
M-volume_1IIIorg-NOXID-טאָמאַשעווסקי-023	טאמאשעווסקי	P-1-facs_336_tr_1741260422	טאָמאַשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:14Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-038	טאמאשעווסקי	P-1-facs_341_TextRegion_1710852353404_65	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:14Z	
M-volume_1IIIorg-NOXID-טאָמאַשעווסקי-013	טאמאשעווסקי	P-1-facs_34_tr_1740521031	טאָמאַשעווסקי	hub	HUB-D693	טאָמאַשעוו[פ]סקי, באָריס [ברוך-אהרן]	AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:14Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-039	טאמאשעווסקי	P-1-facs_350_tr_1741260475	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:14Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-040	טאמאשעווסקי	P-1-facs_359_TextRegion_1710852536774_157	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:19Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-041	טאמאשעווסקי	P-1-facs_360_TextRegion_1710852683904_242	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:19Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-042	טאמאשעווסקי	P-1-facs_361_r_9	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|year:1901|family-cluster|career-overlap	Ruthie	2026-07-08T13:47:19Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-043	טאמאשעווסקי	P-1-facs_365_tr_1741260398	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:19Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-044	טאמאשעווסקי	P-1-facs_367_tr_1741260404	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:19Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-045	טאמאשעווסקי	P-1-facs_375_tr_1741260389	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|year:1912|family-cluster|career-overlap	Ruthie	2026-07-08T13:47:19Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-046	טאמאשעווסקי	P-1-facs_376_tr_1741260449	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:19Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-000	טאמאשעווסקי	P-1-facs_37_tr_1740520982	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:19Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-047	טאמאשעווסקי	P-1-facs_381_r_2	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:19Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-048	טאמאשעווסקי	P-1-facs_384_tr_1739715246	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|year:1917|family-cluster|career-overlap	Ruthie	2026-07-08T13:47:19Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-049	טאמאשעווסקי	P-1-facs_393_tr_1741260467	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:19Z	
M-volume_1IIIorg-NOXID-טאמאשעווסקי-000	טאמאשעווסקי	P-1-facs_39_tr_1740520983	טאמאשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:19Z	
M-volume_1IIIorg-NOXID-טאמאשעווסקי-001	טאמאשעווסקי	P-1-facs_400_TextRegion_1710065342920_478	טאמאשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:24Z	
M-volume_1IIIorg-NOXID-טאָמאַשעווסקי-024	טאמאשעווסקי	P-1-facs_400_r_12	טאָמאַשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:24Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-050	טאמאשעווסקי	P-1-facs_402_tr_1739715076	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|year:1909|family-cluster|career-overlap	Ruthie	2026-07-08T13:47:24Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-051	טאמאשעווסקי	P-1-facs_405_r_4	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|year:1926|family-cluster|career-overlap	Ruthie	2026-07-08T13:47:24Z	
M-volume_1IIIorg-NOXID-טאָמאַשעווסקי-025	טאמאשעווסקי	P-1-facs_407_tr_1739715081	טאָמאַשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:24Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-001	טאמאשעווסקי	P-1-facs_40_tr_1740521035	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster|career-overlap	Ruthie	2026-07-08T13:47:24Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-002	טאמאשעווסקי	P-1-facs_48_tr_1740521136	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|year:1923|family-cluster|career-overlap	Ruthie	2026-07-08T13:47:24Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-003	טאמאשעווסקי	P-1-facs_73_tr_1740521067	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:24Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-004	טאמאשעווסקי	P-1-facs_74_r_1	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|year:1920|family-cluster|career-overlap	Ruthie	2026-07-08T13:47:24Z	
M-volume_2IIIorg-NOXID-טאָמאַשעווסקי-046	טאמאשעווסקי	P-2-facs_113_tr_1744279135	טאָמאַשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:24Z	
M-volume_2IIIorg-NOXID-טאָמאַשעווסקי-047	טאמאשעווסקי	P-2-facs_115_tr_1744279184	טאָמאַשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|year:1931|family-cluster|career-overlap	Ruthie	2026-07-08T13:47:24Z	
M-volume_2IIIorg-NOXID-טאָמאַשעווסקי-048	טאמאשעווסקי	P-2-facs_133_tr_1744279136	טאָמאַשעווסקי	hub	HUB-D693	טאָמאַשעוו[פ]סקי, באָריס [ברוך-אהרן]	AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:47:24Z	
M-volume_1IIIorg-NOXID-וויינשטאָק-001	וויינשטאק	P-1-facs_115_r_6	וויינשטאָק	hub	HUB-D3230	וויינשטאָק, יוסף	AMBIGUOUS	low_margin	0	gender:male	Sinai	2026-07-08T14:57:12Z	
M-volume_1IIIorg-NOXID-וויינשטאָק-002	וויינשטאק	P-1-facs_116_r_5	וויינשטאָק	hub	HUB-D3230	וויינשטאָק, יוסף	AMBIGUOUS	low_margin	0	gender:male	Sinai	2026-07-08T14:57:12Z	
M-volume_2IIIorg-NOXID-טאָמאַשעווסקי-049	טאמאשעווסקי	P-2-facs_148_r	טאָמאַשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|year:1920|family-cluster|career-overlap	Ruthie	2026-07-09T04:56:17Z	
M-volume_2IIIorg-NOXID-טאָמאשעווסקי-001	טאמאשעווסקי	P-2-facs_157_r_3	טאָמאשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-09T04:56:17Z	
M-volume_2IIIorg-NOXID-טאָמאַשעווסקי-051	טאמאשעווסקי	P-2-facs_194_tr_1744279148	טאָמאַשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-09T04:56:17Z	
M-volume_2IIIorg-NOXID-טאָמאַשעווסקי-052	טאמאשעווסקי	P-2-facs_194_tr_1744279150	טאָמאַשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-09T04:56:17Z	
M-volume_2IIIorg-NOXID-טאָמאַשעווסקי-053	טאמאשעווסקי	P-2-facs_198_TextRegion_1709396169380_251	טאָמאַשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-09T04:56:17Z	
M-volume_2IIIorg-NOXID-טאָמאַשעווסקי-054	טאמאשעווסקי	P-2-facs_220_tr_1744280762	טאָמאַשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-09T04:56:17Z	
M-volume_2IIIorg-NOXID-טאָמאַשעווסקי-055	טאמאשעווסקי	P-2-facs_250_tr_1744280775	טאָמאַשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-09T04:56:17Z	
M-volume_2IIIorg-NOXID-טאָמאַשעווסקי-056	טאמאשעווסקי	P-2-facs_254_tr_1744280773	טאָמאַשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster|career-overlap	Ruthie	2026-07-09T04:56:17Z	
M-volume_2IIIorg-NOXID-טאָמאַשעווסקי-057	טאמאשעווסקי	P-2-facs_259_r	טאָמאַשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-09T04:56:17Z	
M-volume_2IIIorg-NOXID-טאָמאַשעווסקי-059	טאמאשעווסקי	P-2-facs_286_r_2	טאָמאַשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-09T04:56:17Z	
M-volume_2IIIorg-NOXID-טאָמאַשעווסקי-060	טאמאשעווסקי	P-2-facs_309_tr_1744365735	טאָמאַשעווסקי	hub	HUB-D693	טאָמאַשעוו[פ]סקי, באָריס [ברוך-אהרן]	AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-09T04:56:17Z	
M-volume_2IIIorg-NOXID-טאָמאַשעווסקי-061	טאמאשעווסקי	P-2-facs_323_tr_1744365725	טאָמאַשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|year:1913|family-cluster|career-overlap	Ruthie	2026-07-09T04:56:17Z	
M-volume_2IIIorg-NOXID-טאָמאַשעווסקי-062	טאמאשעווסקי	P-2-facs_336_tr_1744365769	טאָמאַשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-09T04:56:48Z	
M-volume_2IIIorg-NOXID-טאָמאַשעווסקי-063	טאמאשעווסקי	P-2-facs_356_tr_1744365750	טאָמאַשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|year:1920|family-cluster|career-overlap	Ruthie	2026-07-09T04:56:48Z	
M-volume_2IIIorg-NOXID-טאָמאַשעווסקי-064	טאמאשעווסקי	P-2-facs_382_tr_1744366859	טאָמאַשעווסקי	hub	HUB-D693	טאָמאַשעוו[פ]סקי, באָריס [ברוך-אהרן]	AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-09T04:56:48Z	
M-volume_2IIIorg-NOXID-טאָמאַשעווסקי-037	טאמאשעווסקי	P-2-facs_40_tr_1744131399	טאָמאַשעווסקי	hub	HUB-D693	טאָמאַשעוו[פ]סקי, באָריס [ברוך-אהרן]	AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-09T04:56:48Z	
M-volume_2IIIorg-NOXID-טאָמאַשעווסקי-038	טאמאשעווסקי	P-2-facs_40_tr_1744131399	טאָמאַשעווסקי	hub	HUB-D693	טאָמאַשעוו[פ]סקי, באָריס [ברוך-אהרן]	AMBIGUOUS	family_abstain_suggested	0	gender:male|year:1927|family-cluster|career-overlap	Ruthie	2026-07-09T04:56:48Z	
M-volume_2IIIorg-NOXID-טאָמאַשעווסקי-039	טאמאשעווסקי	P-2-facs_48_r_2	טאָמאַשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-09T04:56:48Z	
M-volume_2IIIorg-NOXID-טאָמאָשעווסקי-052	טאמאשעווסקי	P-2-facs_52_tr_1744131407	טאָמאָשעווסקי	hub	HUB-D693	טאָמאַשעוו[פ]סקי, באָריס [ברוך-אהרן]	AMBIGUOUS	family_abstain_suggested	0	gender:male|year:1918|family-cluster|career-overlap	Ruthie	2026-07-09T04:56:48Z	
M-volume_2IIIorg-NOXID-טאָמאַשעווסקי-040	טאמאשעווסקי	P-2-facs_53_r_6	טאָמאַשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|year:1908|family-cluster|career-overlap	Ruthie	2026-07-09T04:56:48Z	
M-volume_2IIIorg-NOXID-טאָמאַשעווסקי-041	טאמאשעווסקי	P-2-facs_62_tr_1744131375	טאָמאַשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-09T04:56:48Z	
M-volume_2IIIorg-NOXID-טאָמאַשעווסקי-042	טאמאשעווסקי	P-2-facs_67_tr_1744131421	טאָמאַשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|year:1922|family-cluster|career-overlap	Ruthie	2026-07-09T04:56:48Z	
M-volume_2IIIorg-NOXID-טאָמאָשעווסקי-053	טאמאשעווסקי	P-2-facs_69_tr_1744131404	טאָמאָשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|year:1926|family-cluster|career-overlap	Ruthie	2026-07-09T04:56:48Z	
M-volume_2IIIorg-NOXID-טאָמאַשעווסקי-043	טאמאשעווסקי	P-2-facs_72_tr_1744131378	טאָמאַשעווסקי	family			AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-09T04:56:48Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-016	טאמאשעווסקי	P-1-facs_247_tr_1713385122	טאָמאָשעווסקי	other			AMBIGUOUS	low_margin	0	gender:male|year:1888|career-overlap	Ruthie	2026-07-09T11:48:38Z	
M-volume_1IIIorg-1-facs_302_tr_1741260413-טאָמאָשעווסקי-000	טאמאשעווסקי	P-1-facs_302_tr_1741260413	טאָמאָשעווסקי	other			AMBIGUOUS	low_margin	0	gender:male|year:1894|career-overlap	Ruthie	2026-07-09T11:48:38Z	
M-volume_1IIIorg-1-facs_388_tr_1739715081-טאָמאָשעווסקי-000	טאמאשעווסקי	P-1-facs_388_tr_1739715081	טאָמאָשעווסקי	other			AMBIGUOUS	low_margin	0	gender:male|year:1895|career-overlap	Ruthie	2026-07-09T11:48:38Z	
